conf,wave,R
1,0.35,4060.57
1,0.3576,4148.74
1,0.365,4234.59
1,0.3723,4319.29
1,0.3794,4401.66
1,0.3863,4481.71
1,0.3931,4560.6
1,0.3996,4636.01
1,0.406,4710.26
1,0.4122,4782.19
1,0.4182,4851.8
1,0.424,4919.09
1,0.4295,4982.9
1,0.4349,5045.55
1,0.44,5104.72
2,0.427,3889.48
2,0.4369,3979.65
2,0.4466,4068.01
2,0.4562,4155.45
2,0.4656,4241.08
2,0.4747,4323.97
2,0.4837,4405.95
2,0.4924,4485.19
2,0.501,4563.53
2,0.5093,4639.13
2,0.5173,4712.01
2,0.5251,4783.05
2,0.5327,4852.28
2,0.54,4918.78
2,0.547,4982.54
3,0.5275,3837.77
3,0.54,3928.72
3,0.5524,4018.93
3,0.5645,4106.96
3,0.5763,4192.81
3,0.5879,4277.21
3,0.5993,4360.15
3,0.6104,4440.9
3,0.6213,4520.21
3,0.6318,4596.6
3,0.6421,4671.53
3,0.652,4743.56
3,0.6617,4814.13
3,0.671,4881.79
3,0.68,4947.27
4,0.664,3897.8
4,0.6794,3988.2
4,0.6945,4076.84
4,0.7093,4163.72
4,0.7238,4248.84
4,0.738,4332.19
4,0.7519,4413.79
4,0.7655,4493.62
4,0.7787,4571.11
4,0.7916,4646.84
4,0.804,4719.63
4,0.8161,4790.66
4,0.8278,4859.34
4,0.8391,4925.67
4,0.85,4989.65
