date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub 
"2018 Jun 14",2458283.8521,"r", 99.0, 99.0,99.0, 20.63,"P48+ZTF","2","None","None",True
"2018 Jun 14",2458283.8608,"r", 99.0, 99.0,99.0, 20.61,"P48+ZTF","2","None","None",True
"2018 Jun 14",2458283.8940,"r", 99.0, 99.0,99.0, 20.58,"P48+ZTF","2","None","None",True
"2018 Jun 14",2458283.9075,"g", 99.0, 99.0,99.0, 20.89,"P48+ZTF","2","None","None",True
"2018 Jun 14",2458283.9326,"g", 99.0, 99.0,99.0, 20.89,"P48+ZTF","2","None","None",True
"2018 Jun 15",2458284.8087,"r", 99.0, 99.0,99.0, 20.03,"P48+ZTF","2","None","None",True
"2018 Jun 15",2458284.8265,"r", 99.0, 99.0,99.0, 20.11,"P48+ZTF","2","None","None",True
"2018 Jun 15",2458284.8444,"r", 99.0, 99.0,99.0, 20.40,"P48+ZTF","2","None","None",True
"2018 Jun 15",2458284.8453,"r", 99.0, 99.0,99.0, 20.48,"P48+ZTF","1","None","None",True
"2018 Jun 15",2458284.8736,"g", 99.0, 99.0,99.0, 20.75,"P48+ZTF","2","None","None",True
"2018 Jun 15",2458284.8870,"g", 99.0, 99.0,99.0, 20.17,"P48+ZTF","1","None","None",True
"2018 Jun 15",2458284.8879,"g", 99.0, 99.0,99.0, 20.27,"P48+ZTF","2","None","None",True
"2018 Jun 16",2458285.7837,"g", 99.0, 99.0,99.0, 19.86,"P48+ZTF","2","None","None",True
"2018 Jun 16",2458285.8154,"r", 99.0, 99.0,99.0, 20.60,"P48+ZTF","2","None","None",True
"2018 Jun 16",2458285.8853,"r", 99.0, 99.0,99.0, 20.77,"P48+ZTF","2","None","None",True
"2018 Jun 16",2458285.9159,"r", 99.0, 99.0,99.0, 20.84,"P48+ZTF","2","None","None",True
"2018 Jun 16",2458285.9311,"g", 99.0, 99.0,99.0, 21.13,"P48+ZTF","2","None","None",True
"2018 Jun 16",2458285.9564,"g", 99.0, 99.0,99.0, 21.07,"P48+ZTF","2","None","None",True
"2018 Jun 17",2458286.8096,"r", 99.0, 99.0,99.0, 20.49,"P48+ZTF","2","None","None",True
"2018 Jun 17",2458286.8317,"r", 99.0, 99.0,99.0, 20.41,"P48+ZTF","2","None","None",True
"2018 Jun 17",2458286.9164,"g", 99.0, 99.0,99.0, 20.90,"P48+ZTF","2","None","None",True
"2018 Jun 17",2458286.9262,"g", 99.0, 99.0,99.0, 20.86,"P48+ZTF","2","None","None",True
"2018 Jun 17",2458286.9586,"g", 99.0, 99.0,99.0, 20.86,"P48+ZTF","2","None","None",True
"2018 Jun 18",2458287.8286,"r", 99.0, 99.0,99.0, 20.60,"P48+ZTF","2","None","None",True
"2018 Jun 18",2458287.9124,"g", 99.0, 99.0,99.0, 20.53,"P48+ZTF","2","None","None",True
"2018 Jun 18",2458287.9378,"g", 99.0, 99.0,99.0, 20.71,"P48+ZTF","2","None","None",True
"2018 Jun 18",2458287.9547,"r", 99.0, 99.0,99.0, 20.55,"P48+ZTF","2","None","None",True
"2018 Jun 18",2458287.9557,"r", 99.0, 99.0,99.0, 20.61,"P48+ZTF","1","None","None",True
"2018 Jun 19",2458288.8112,"r", 99.0, 99.0,99.0, 20.66,"P48+ZTF","2","None","None",True
"2018 Jun 19",2458288.8261,"r", 99.0, 99.0,99.0, 20.70,"P48+ZTF","2","None","None",True
