date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub 
"2018 Jul 15",2458314.7158,"r", 99.0, 99.0,99.0, 20.74,"P48+ZTF","1","None","None",True
"2018 Jul 15",2458314.7409,"g", 99.0, 99.0,99.0, 20.68,"P48+ZTF","1","None","None",True
"2018 Jul 20",2458319.6981,"g", 99.0, 99.0,99.0, 19.86,"P48+ZTF","1","None","None",True
"2018 Jul 20",2458319.7547,"r", 99.0, 99.0,99.0, 20.15,"P48+ZTF","1","None","None",True
"2018 Jul 23",2458322.7006,"g", 99.0, 99.0,99.0, 19.93,"P48+ZTF","1","None","None",True
"2018 Jul 23",2458322.7547,"r", 99.0, 99.0,99.0, 20.00,"P48+ZTF","1","None","None",True
"2018 Jul 26",2458325.7034,"g", 99.0, 99.0,99.0, 19.68,"P48+ZTF","1","None","None",True
"2018 Jul 26",2458325.7232,"r", 99.0, 99.0,99.0, 19.60,"P48+ZTF","1","None","None",True
"2018 Jul 29",2458328.6822,"g", 99.0, 99.0,99.0, 20.03,"P48+ZTF","1","None","None",True
"2018 Jul 29",2458328.7993,"r", 99.0, 99.0,99.0, 18.65,"P48+ZTF","1","None","None",True
"2018 Aug 01",2458331.6962,"r", 99.0, 99.0,99.0, 20.52,"P48+ZTF","1","None","None",True
"2018 Aug 01",2458331.7382,"g", 99.0, 99.0,99.0, 20.46,"P48+ZTF","1","None","None",True
"2018 Aug 04",2458334.6645,"r", 99.0, 99.0,99.0, 20.33,"P48+ZTF","1","None","None",True
"2018 Aug 04",2458334.6873,"g", 99.0, 99.0,99.0, 20.65,"P48+ZTF","1","None","None",True
"2018 Aug 07",2458337.6805,"g", -16.16, 20.75,0.27, 20.87,"P48+ZTF","1","None","None",True
"2018 Aug 07",2458337.6935,"r", -16.21, 20.69,0.22, 20.66,"P48+ZTF","1","None","None",True
"2018 Aug 10",2458340.6828,"r", -17.12, 19.79,0.17, 20.43,"P48+ZTF","1","None","None",True
"2018 Aug 10",2458340.6828,"r", -17.12, 19.79,0.17, 20.43,"P48+ZTF","1","None","None",True
"2018 Aug 13",2458343.6600,"r", -17.46, 19.45,0.10, 20.63,"P48+ZTF","1","None","None",True
"2018 Aug 13",2458343.6798,"g", -17.30, 19.61,0.15, 20.65,"P48+ZTF","1","None","None",True
"2018 Aug 16",2458346.6564,"g", -17.59, 19.31,0.12, 20.50,"P48+ZTF","1","None","None",True
"2018 Aug 16",2458346.6796,"r", -17.79, 19.12,0.09, 20.62,"P48+ZTF","1","None","None",True
"2018 Aug 19",2458349.6606,"g", -18.01, 18.90,0.12, 20.18,"P48+ZTF","1","None","None",True
"2018 Aug 19",2458349.6615,"g", -18.02, 18.89,0.10, 20.23,"P48+ZTF","2","None","None",True
"2018 Aug 19",2458349.6710,"g", -18.11, 18.80,0.10, 20.18,"P48+ZTF","2","None","None",True
"2018 Aug 19",2458349.6923,"g", -18.04, 18.87,0.13, 20.16,"P48+ZTF","2","None","None",True
"2018 Aug 19",2458349.7346,"r", -18.13, 18.78,0.09, 20.13,"P48+ZTF","1","None","None",True
"2018 Aug 19",2458349.7355,"r", -18.16, 18.75,0.10, 20.04,"P48+ZTF","2","None","None",True
"2018 Aug 19",2458349.7568,"r", -18.07, 18.83,0.11, 19.91,"P48+ZTF","2","None","None",True
"2018 Aug 19",2458349.7755,"r", -18.12, 18.79,0.10, 19.99,"P48+ZTF","2","None","None",True
"2018 Aug 20",2458350.6545,"r", -18.22, 18.69,0.08, 20.18,"P48+ZTF","2","None","None",True
"2018 Aug 20",2458350.6823,"r", -18.27, 18.63,0.10, 20.23,"P48+ZTF","2","None","None",True
"2018 Aug 20",2458350.7062,"r", -18.28, 18.62,0.09, 20.13,"P48+ZTF","2","None","None",True
"2018 Aug 20",2458350.7355,"g", -18.19, 18.72,0.08, 20.20,"P48+ZTF","2","None","None",True
"2018 Aug 20",2458350.7666,"g", -18.17, 18.74,0.09, 20.10,"P48+ZTF","2","None","None",True
"2018 Aug 20",2458350.7790,"g", -18.18, 18.73,0.11, 20.08,"P48+ZTF","2","None","None",True
"2018 Aug 21",2458351.6620,"r", -18.31, 18.59,0.10, 20.16,"P48+ZTF","2","None","None",True
"2018 Aug 21",2458351.6764,"r", -18.33, 18.58,0.10, 20.15,"P48+ZTF","2","None","None",True
"2018 Aug 21",2458351.6906,"r", -18.39, 18.51,0.09, 20.09,"P48+ZTF","2","None","None",True
"2018 Aug 21",2458351.7345,"g", -18.25, 18.66,0.08, 20.00,"P48+ZTF","2","None","None",True
"2018 Aug 21",2458351.7675,"g", -18.18, 18.73,0.10, 20.01,"P48+ZTF","2","None","None",True
"2018 Aug 21",2458351.7856,"g", -18.30, 18.61,0.11, 19.95,"P48+ZTF","2","None","None",True
"2018 Aug 22",2458352.6598,"g", -18.30, 18.61,0.10, 19.74,"P48+ZTF","2","None","None",True
"2018 Aug 22",2458352.6608,"g", -18.28, 18.63,0.11, 19.80,"P48+ZTF","1","None","None",True
"2018 Aug 22",2458352.6789,"g", -18.23, 18.68,0.09, 19.86,"P48+ZTF","2","None","None",True
"2018 Aug 22",2458352.7057,"g", -18.35, 18.56,0.08, 19.93,"P48+ZTF","2","None","None",True
"2018 Aug 22",2458352.7138,"r", -18.37, 18.54,0.09, 19.76,"P48+ZTF","2","None","None",True
"2018 Aug 22",2458352.7359,"r", -18.36, 18.55,0.08, 19.84,"P48+ZTF","2","None","None",True
"2018 Aug 22",2458352.7443,"r", -18.32, 18.58,0.08, 19.87,"P48+ZTF","1","None","None",True
"2018 Aug 22",2458352.7561,"r", -18.38, 18.53,0.08, 19.73,"P48+ZTF","2","None","None",True
"2018 Aug 23",2458353.6612,"r", -18.43, 18.47,0.11, 20.03,"P48+ZTF","2","None","None",True
"2018 Aug 23",2458353.6802,"r", -18.41, 18.50,0.10, 19.95,"P48+ZTF","2","None","None",True
"2018 Aug 23",2458353.6953,"r", -18.40, 18.50,0.11, 20.01,"P48+ZTF","2","None","None",True
"2018 Aug 23",2458353.7450,"r", -18.43, 18.48,0.09, 19.95,"P48+ZTF","2","None","None",True
"2018 Aug 23",2458353.7553,"r", -18.37, 18.54,0.10, 19.90,"P48+ZTF","2","None","None",True
"2018 Aug 23",2458353.7979,"r", -18.45, 18.45,0.09, 19.71,"P48+ZTF","2","None","None",True
"2018 Aug 23",2458354.0855,"UVW2", -17.14, 19.77,0.14, 21.66,"Swift+UVOT","None","Maayane Soumagnac","None",False
"2018 Aug 23",2458354.0906,"UVW1", -17.61, 19.29,0.11, 21.56,"Swift+UVOT","None","Maayane Soumagnac","None",False
"2018 Aug 24",2458354.6863,"r", -18.57, 18.33,0.07, 19.90,"P48+ZTF","2","None","None",True
"2018 Aug 24",2458354.6932,"r", -18.43, 18.48,0.11, 19.76,"P48+ZTF","2","None","None",True
"2018 Aug 24",2458354.7261,"r", -18.45, 18.46,0.08, 19.80,"P48+ZTF","2","None","None",True
"2018 Aug 24",2458354.7472,"r", -18.46, 18.45,0.08, 19.77,"P48+ZTF","2","None","None",True
"2018 Aug 25",2458355.7490,"r", -18.52, 18.39,0.09, 19.81,"P48+ZTF","2","None","None",True
"2018 Aug 25",2458355.7543,"r", -18.48, 18.42,0.08, 19.82,"P48+ZTF","2","None","None",True
"2018 Aug 26",2458356.7238,"r", -18.50, 18.41,0.08, 19.59,"P48+ZTF","1","None","None",True
"2018 Aug 26",2458356.7554,"r", -18.48, 18.43,0.08, 19.61,"P48+ZTF","2","None","None",True
"2018 Aug 27",2458357.6830,"r", -18.53, 18.38,0.08, 19.66,"P48+ZTF","2","None","None",True
"2018 Aug 27",2458357.7426,"r", -18.54, 18.36,0.10, 19.62,"P48+ZTF","2","None","None",True
"2018 Aug 27",2458357.7649,"r", -18.54, 18.36,0.09, 19.66,"P48+ZTF","2","None","None",True
"2018 Aug 27",2458357.7845,"r", -18.46, 18.45,0.08, 19.48,"P48+ZTF","2","None","None",True
"2018 Aug 28",2458358.7016,"r", -18.55, 18.36,0.07, 19.86,"P48+ZTF","2","None","None",True
"2018 Aug 28",2458358.7249,"r", -18.59, 18.32,0.07, 19.80,"P48+ZTF","2","None","None",True
"2018 Aug 28",2458358.7416,"r", -18.59, 18.31,0.09, 19.68,"P48+ZTF","2","None","None",True
"2018 Aug 29",2458359.7142,"r", -18.57, 18.34,0.07, 19.59,"P48+ZTF","1","None","None",True
"2018 Aug 29",2458359.7184,"r", -18.54, 18.37,0.08, 19.73,"P48+ZTF","2","None","None",True
"2018 Aug 29",2458359.7683,"r", -18.57, 18.34,0.10, 19.42,"P48+ZTF","2","None","None",True
"2018 Aug 30",2458360.6423,"g", -18.52, 18.39,0.07, 20.37,"P48+ZTF","2","None","None",True
"2018 Aug 30",2458360.6569,"g", -18.55, 18.36,0.08, 20.72,"P48+ZTF","2","None","None",True
"2018 Aug 30",2458360.7256,"r", -18.60, 18.31,0.06, 20.19,"P48+ZTF","2","None","None",True
"2018 Aug 30",2458360.7468,"r", -18.56, 18.35,0.07, 19.94,"P48+ZTF","2","None","None",True
"2018 Aug 30",2458360.7647,"r", -18.58, 18.33,0.06, 19.85,"P48+ZTF","2","None","None",True
"2018 Aug 31",2458361.6461,"r", -18.59, 18.31,0.07, 20.31,"P48+ZTF","2","None","None",True
"2018 Aug 31",2458361.6666,"g", -18.57, 18.34,0.08, 20.66,"P48+ZTF","2","None","None",True
"2018 Aug 31",2458361.6696,"g", -18.55, 18.36,0.07, 20.77,"P48+ZTF","2","None","None",True
"2018 Aug 31",2458361.6971,"g", -18.57, 18.34,0.06, 20.80,"P48+ZTF","2","None","None",True
"2018 Aug 31",2458361.7454,"r", -18.57, 18.33,0.07, 20.00,"P48+ZTF","2","None","None",True
"2018 Aug 31",2458361.7889,"r", -18.59, 18.32,0.08, 19.79,"P48+ZTF","2","None","None",True
"2018 Sep 01",2458362.6376,"r", -18.59, 18.32,0.07, 20.26,"P48+ZTF","2","None","None",True
"2018 Sep 01",2458362.6563,"r", -18.59, 18.32,0.05, 20.58,"P48+ZTF","1","None","None",True
"2018 Sep 01",2458362.6572,"r", -18.62, 18.29,0.06, 20.57,"P48+ZTF","2","None","None",True
"2018 Sep 01",2458362.6739,"r", -18.56, 18.35,0.06, 20.55,"P48+ZTF","2","None","None",True
"2018 Sep 01",2458362.7012,"g", -18.57, 18.33,0.08, 20.82,"P48+ZTF","2","None","None",True
