date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub 
"2018 Nov 21",2458444.0226,"g", 99.0, 99.0,99.0, 20.61,"P48+ZTF","1","None","None",True
"2018 Dec 09",2458461.9515,"g", 99.0, 99.0,99.0, 19.91,"P48+ZTF","1","None","None",True
"2018 Dec 09",2458461.9782,"g", 99.0, 99.0,99.0, 20.07,"P48+ZTF","1","None","None",True
"2018 Dec 09",2458462.0020,"r", 99.0, 99.0,99.0, 19.70,"P48+ZTF","1","None","None",True
"2018 Dec 12",2458464.9648,"g", 99.0, 99.0,99.0, 20.51,"P48+ZTF","1","None","None",True
"2018 Dec 12",2458465.0224,"r", 99.0, 99.0,99.0, 20.29,"P48+ZTF","1","None","None",True
"2018 Dec 15",2458467.9545,"g", 99.0, 99.0,99.0, 17.69,"P48+ZTF","1","None","None",True
"2018 Dec 15",2458467.9545,"g", -17.64, 17.69,0.21, 17.69,"P48+ZTF","1","None","None",True
"2018 Dec 15",2458467.9563,"g", 99.0, 99.0,99.0, 17.84,"P48+ZTF","1","None","None",True
"2018 Dec 15",2458467.9563,"g", -17.80, 17.53,0.15, 17.84,"P48+ZTF","1","None","None",True
"2018 Dec 20",2458472.9417,"r", -18.08, 17.24,0.04, 20.09,"P48+ZTF","1","None","None",True
"2018 Dec 20",2458472.9417,"r", -18.08, 17.24,0.04, 20.09,"P48+ZTF","1","None","None",True
"2018 Dec 20",2458472.9964,"g", -18.23, 17.09,0.05, 19.87,"P48+ZTF","1","None","None",True
"2018 Dec 20",2458472.9964,"g", -18.23, 17.09,0.05, 19.87,"P48+ZTF","1","None","None",True
"2018 Dec 20",2458472.9973,"g", -18.23, 17.10,0.04, 20.08,"P48+ZTF","1","None","None",True
"2018 Dec 20",2458472.9973,"g", -18.23, 17.10,0.04, 20.08,"P48+ZTF","1","None","None",True
"2018 Dec 23",2458476.0175,"g", -18.31, 17.02,0.04, 19.14,"P48+ZTF","1","None","None",True
"2018 Dec 23",2458476.0396,"g", -18.31, 17.02,0.05, 19.11,"P48+ZTF","1","None","None",True
"2018 Dec 24",2458476.7884,"r", -18.38, 16.95,0.04, 99.00,"P60+SEDM","None","Fremling Automated Pipeline","SDSS",True
"2018 Dec 28",2458480.9398,"r", -18.36, 16.96,0.04, 19.82,"P48+ZTF","1","None","None",True
"2018 Dec 28",2458480.9402,"r", -18.34, 16.99,0.05, 19.72,"P48+ZTF","1","None","None",True
"2018 Dec 28",2458480.9835,"g", -18.40, 16.93,0.05, 19.60,"P48+ZTF","1","None","None",True
"2018 Dec 28",2458480.9835,"g", -18.40, 16.93,0.05, 19.60,"P48+ZTF","1","None","None",True
"2018 Dec 28",2458480.9840,"g", -18.40, 16.93,0.05, 19.75,"P48+ZTF","1","None","None",True
"2018 Dec 28",2458480.9840,"g", -18.40, 16.93,0.05, 19.75,"P48+ZTF","1","None","None",True
"2018 Dec 28",2458481.1223,"UVW2", -17.88, 17.45,0.08, 21.33,"Swift+UVOT","None","Maayane Soumagnac","None",False
"2018 Dec 28",2458481.1254,"UVW1", -18.21, 17.12,0.07, 20.91,"Swift+UVOT","None","Maayane Soumagnac","None",False
"2018 Dec 29",2458481.9771,"r", -18.35, 16.98,0.04, 19.99,"P48+ZTF","1","None","None",True
"2018 Dec 29",2458481.9771,"r", -18.35, 16.98,0.04, 19.99,"P48+ZTF","1","None","None",True
"2018 Dec 29",2458481.9780,"r", -18.36, 16.97,0.04, 19.94,"P48+ZTF","1","None","None",True
"2018 Dec 29",2458481.9780,"r", -18.36, 16.97,0.04, 19.94,"P48+ZTF","1","None","None",True
"2019 Jan 03",2458486.9208,"g", -18.33, 17.00,0.04, 20.19,"P48+ZTF","1","None","None",True
"2019 Jan 03",2458486.9208,"g", -18.33, 17.00,0.04, 20.19,"P48+ZTF","1","None","None",True
"2019 Jan 03",2458486.9553,"r", -18.36, 16.97,0.04, 20.19,"P48+ZTF","1","None","None",True
"2019 Jan 03",2458486.9562,"r", -18.34, 16.99,0.04, 20.12,"P48+ZTF","1","None","None",True
"2019 Jan 06",2458490.1457,"UVW2", -16.78, 18.55,0.10, 21.53,"Swift+UVOT","None","Maayane Soumagnac","None",False
"2019 Jan 06",2458490.1490,"UVW1", -17.32, 18.01,0.09, 21.18,"Swift+UVOT","None","Maayane Soumagnac","None",False
"2019 Jan 08",2458491.9166,"r", -18.17, 17.15,0.04, 20.18,"P48+ZTF","1","None","None",True
"2019 Jan 08",2458491.9302,"g", -18.10, 17.23,0.04, 20.33,"P48+ZTF","1","None","None",True
"2019 Jan 08",2458491.9302,"g", -18.10, 17.23,0.04, 20.33,"P48+ZTF","1","None","None",True
"2019 Jan 08",2458491.9311,"g", -18.08, 17.25,0.04, 20.38,"P48+ZTF","1","None","None",True
"2019 Jan 08",2458491.9311,"g", -18.08, 17.25,0.04, 20.38,"P48+ZTF","1","None","None",True
"2019 Jan 10",2458493.9881,"r", -18.07, 17.26,0.05, 20.50,"P48+ZTF","1","None","None",True
"2019 Jan 11",2458494.9664,"g", -17.88, 17.45,0.04, 20.59,"P48+ZTF","1","None","None",True
"2019 Jan 12",2458495.7567,"g", -17.84, 17.49,0.06, 19.98,"P48+ZTF","1","None","None",True
"2019 Jan 19",2458502.9249,"r", -17.55, 17.78,0.07, 18.94,"P48+ZTF","2","None","None",True
"2019 Jan 19",2458502.9249,"r", -17.55, 17.78,0.07, 18.94,"P48+ZTF","2","None","None",True
"2019 Jan 19",2458502.9254,"r", -17.46, 17.87,0.08, 18.92,"P48+ZTF","2","None","None",True
"2019 Jan 20",2458503.8059,"r", -17.38, 17.95,0.16, 17.91,"P48+ZTF","2","None","None",True
"2019 Jan 20",2458503.8064,"r", 99.0, 99.0,99.0, 17.42,"P48+ZTF","2","None","None",True
"2019 Jan 20",2458503.8223,"r", -17.55, 17.78,0.25, 17.43,"P48+ZTF","2","None","None",True
"2019 Jan 20",2458503.8228,"r", 99.0, 99.0,99.0, 16.81,"P48+ZTF","2","None","None",True
"2019 Jan 20",2458503.8389,"r", -17.44, 17.89,0.15, 18.35,"P48+ZTF","2","None","None",True
"2019 Jan 20",2458503.8393,"r", -17.21, 18.12,0.18, 17.78,"P48+ZTF","2","None","None",True
"2019 Jan 20",2458503.8393,"r", -17.21, 18.12,0.18, 17.78,"P48+ZTF","2","None","None",True
"2019 Jan 20",2458503.8558,"r", -17.37, 17.96,0.10, 18.69,"P48+ZTF","2","None","None",True
