date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub 
"2018 Dec 09",2458461.9670,"g", 99.0, 99.0,99.0, 20.10,"P48+ZTF","1","None","None",True
"2018 Dec 09",2458462.0308,"r", 99.0, 99.0,99.0, 20.22,"P48+ZTF","1","None","None",True
"2018 Dec 12",2458464.9845,"g", 99.0, 99.0,99.0, 21.03,"P48+ZTF","1","None","None",True
"2018 Dec 12",2458465.0365,"r", 99.0, 99.0,99.0, 20.67,"P48+ZTF","1","None","None",True
"2018 Dec 15",2458467.9718,"g", 99.0, 99.0,99.0, 19.23,"P48+ZTF","1","None","None",True
"2018 Dec 15",2458468.0089,"r", 99.0, 99.0,99.0, 16.32,"P48+ZTF","1","None","None",True
"2018 Dec 19",2458472.0353,"r", 99.0, 99.0,99.0, 20.50,"P48+ZTF","1","None","None",True
"2018 Dec 28",2458480.9484,"r", 99.0, 99.0,99.0, 19.90,"P48+ZTF","1","None","None",True
"2018 Dec 28",2458481.0028,"g", -20.02, 20.21,0.29, 19.90,"P48+ZTF","1","None","None",True
"2019 Jan 03",2458486.9611,"r", 99.0, 99.0,99.0, 20.62,"P48+ZTF","1","None","None",True
"2019 Jan 03",2458487.0283,"g", -20.60, 19.63,0.13, 20.71,"P48+ZTF","1","None","None",True
"2019 Jan 03",2458487.0283,"g", -20.60, 19.63,0.13, 20.71,"P48+ZTF","1","None","None",True
"2019 Jan 08",2458491.9677,"g", -20.82, 19.41,0.14, 20.12,"P48+ZTF","1","None","None",True
"2019 Jan 08",2458491.9677,"g", -20.82, 19.41,0.14, 20.12,"P48+ZTF","1","None","None",True
"2019 Jan 08",2458492.0354,"r", 99.0, 99.0,99.0, 20.27,"P48+ZTF","1","None","None",True
"2019 Jan 11",2458494.9446,"r", -20.82, 19.41,0.10, 20.88,"P48+ZTF","1","None","None",True
"2019 Jan 11",2458494.9446,"r", -20.82, 19.41,0.10, 20.88,"P48+ZTF","1","None","None",True
"2019 Jan 11",2458494.9744,"g", -20.89, 19.35,0.09, 20.99,"P48+ZTF","1","None","None",True
"2019 Jan 11",2458494.9744,"g", -20.89, 19.35,0.09, 20.99,"P48+ZTF","1","None","None",True
"2019 Jan 19",2458502.9131,"r", -21.26, 18.97,0.12, 19.31,"P48+ZTF","2","None","None",True
"2019 Jan 19",2458502.9336,"r", -21.15, 19.08,0.11, 19.61,"P48+ZTF","2","None","None",True
"2019 Jan 19",2458502.9454,"g", -21.20, 19.04,0.11, 19.71,"P48+ZTF","1","None","None",True
"2019 Jan 19",2458502.9454,"g", -21.20, 19.04,0.11, 19.71,"P48+ZTF","1","None","None",True
"2019 Jan 19",2458503.0148,"r", -21.16, 19.07,0.10, 19.86,"P48+ZTF","1","None","None",True
"2019 Jan 19",2458503.0148,"r", -21.16, 19.07,0.10, 19.86,"P48+ZTF","1","None","None",True
"2019 Jan 20",2458503.7982,"r", 99.0, 99.0,99.0, 18.02,"P48+ZTF","2","None","None",True
