date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub 
"2018 Dec 20",2458472.9882,"g", 99.0, 99.0,99.0, 19.56,"P48+ZTF","1","None","None",True
"2018 Dec 23",2458475.9953,"r", 99.0, 99.0,99.0, 19.57,"P48+ZTF","1","None","None",True
"2018 Dec 28",2458481.0343,"g", 99.0, 99.0,99.0, 19.77,"P48+ZTF","1","None","None",True
"2019 Jan 04",2458488.0083,"g", 99.0, 99.0,99.0, 20.82,"P48+ZTF","1","None","None",True
"2019 Jan 04",2458488.0501,"r", 99.0, 99.0,99.0, 20.56,"P48+ZTF","1","None","None",True
"2019 Jan 08",2458492.0125,"g", -15.89, 19.99,0.23, 20.62,"P48+ZTF","1","None","None",True
"2019 Jan 11",2458495.0298,"g", -18.06, 17.82,0.07, 20.97,"P48+ZTF","1","None","None",True
"2019 Jan 11",2458495.0298,"g", -18.06, 17.82,0.07, 20.97,"P48+ZTF","1","None","None",True
"2019 Jan 17",2458501.1829,"UVW2", -19.14, 16.74,0.07, 21.45,"Swift+UVOT","None","None","None",False
"2019 Jan 17",2458501.1862,"UVW1", -19.41, 16.47,0.06, 21.13,"Swift+UVOT","None","None","None",False
"2019 Jan 19",2458502.9868,"g", -19.29, 16.59,0.04, 19.40,"P48+ZTF","1","None","None",True
"2019 Jan 20",2458503.5634,"UVW2", -19.15, 16.73,0.07, 21.51,"Swift+UVOT","None","None","None",False
"2019 Jan 20",2458503.5663,"UVW1", -19.39, 16.49,0.06, 21.26,"Swift+UVOT","None","None","None",False
"2019 Jan 22",2458505.9872,"g", -19.37, 16.51,0.04, 18.84,"P48+ZTF","1","None","None",True
"2019 Jan 22",2458506.0511,"r", -19.26, 16.62,0.03, 19.52,"P48+ZTF","1","None","None",True
"2019 Jan 23",2458506.6856,"UVW2", -19.07, 16.81,0.07, 21.54,"Swift+UVOT","None","None","None",False
