date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub 
"2019 Feb 25",2458540.0175,"r", 99.0, 99.0,99.0, 17.50,"P48+ZTF","2","None","None",True
"2019 Feb 26",2458540.8152,"r", 99.0, 99.0,99.0, 19.66,"P48+ZTF","2","None","None",True
"2019 Feb 26",2458540.8419,"r", 99.0, 99.0,99.0, 20.57,"P48+ZTF","2","None","None",True
"2019 Feb 26",2458540.9071,"g", 99.0, 99.0,99.0, 19.67,"P48+ZTF","2","None","None",True
"2019 Feb 26",2458540.9427,"g", 99.0, 99.0,99.0, 20.52,"P48+ZTF","2","None","None",True
"2019 Feb 26",2458540.9649,"g", 99.0, 99.0,99.0, 20.53,"P48+ZTF","2","None","None",True
"2019 Feb 26",2458541.0188,"r", 99.0, 99.0,99.0, 20.38,"P48+ZTF","2","None","None",True
"2019 Feb 27",2458541.9428,"g", 99.0, 99.0,99.0, 20.70,"P48+ZTF","2","None","None",True
"2019 Feb 27",2458541.9869,"r", 99.0, 99.0,99.0, 20.55,"P48+ZTF","2","None","None",True
"2019 Feb 27",2458541.9878,"r", 99.0, 99.0,99.0, 20.50,"P48+ZTF","1","None","None",True
"2019 Mar 01",2458543.9242,"r", 99.0, 99.0,99.0, 15.99,"P48+ZTF","2","None","None",True
"2019 Mar 01",2458543.9645,"r", 99.0, 99.0,99.0, 20.22,"P48+ZTF","2","None","None",True
"2019 Mar 01",2458543.9923,"g", 99.0, 99.0,99.0, 20.73,"P48+ZTF","2","None","None",True
"2019 Mar 01",2458544.0182,"g", 99.0, 99.0,99.0, 19.65,"P48+ZTF","2","None","None",True
"2019 Mar 05",2458547.8592,"g", 99.0, 99.0,99.0, 20.44,"P48+ZTF","2","None","None",True
"2019 Mar 05",2458547.8793,"g", 99.0, 99.0,99.0, 20.40,"P48+ZTF","2","None","None",True
"2019 Mar 05",2458547.8917,"g", 99.0, 99.0,99.0, 20.42,"P48+ZTF","1","None","None",True
"2019 Mar 05",2458547.9133,"g", 99.0, 99.0,99.0, 20.45,"P48+ZTF","2","None","None",True
"2019 Mar 14",2458556.9280,"r", 99.0, 99.0,99.0, 20.46,"P48+ZTF","1","None","None",True
"2019 Mar 14",2458556.9289,"r", 99.0, 99.0,99.0, 20.42,"P48+ZTF","2","None","None",True
"2019 Mar 14",2458556.9494,"g", -14.19, 21.45,0.45, 20.43,"P48+ZTF","2","None","None",True
"2019 Mar 14",2458556.9985,"g", 99.0, 99.0,99.0, 20.22,"P48+ZTF","2","None","None",True
"2019 Mar 14",2458557.0268,"i", 99.0, 99.0,99.0, 19.79,"P48+ZTF","2","None","None",True
"2019 Mar 15",2458557.8917,"r", 99.0, 99.0,99.0, 19.68,"P48+ZTF","2","None","None",True
"2019 Mar 15",2458557.9086,"r", 99.0, 99.0,99.0, 20.15,"P48+ZTF","2","None","None",True
"2019 Mar 15",2458557.9328,"r", 99.0, 99.0,99.0, 20.25,"P48+ZTF","2","None","None",True
"2019 Mar 15",2458557.9551,"g", 99.0, 99.0,99.0, 20.34,"P48+ZTF","2","None","None",True
"2019 Mar 15",2458557.9785,"g", 99.0, 99.0,99.0, 19.95,"P48+ZTF","2","None","None",True
"2019 Mar 16",2458558.7840,"r", 99.0, 99.0,99.0, 19.66,"P48+ZTF","1","None","None",True
"2019 Mar 16",2458558.8398,"r", 99.0, 99.0,99.0, 20.00,"P48+ZTF","2","None","None",True
"2019 Mar 16",2458558.8584,"r", 99.0, 99.0,99.0, 20.09,"P48+ZTF","2","None","None",True
"2019 Mar 16",2458558.9214,"g", 99.0, 99.0,99.0, 20.28,"P48+ZTF","2","None","None",True
"2019 Mar 18",2458560.7596,"g", 99.0, 99.0,99.0, 19.17,"P48+ZTF","2","None","None",True
"2019 Mar 18",2458560.7820,"g", 99.0, 99.0,99.0, 19.32,"P48+ZTF","2","None","None",True
"2019 Mar 18",2458560.7829,"g", 99.0, 99.0,99.0, 19.36,"P48+ZTF","1","None","None",True
"2019 Mar 18",2458560.8813,"r", 99.0, 99.0,99.0, 20.11,"P48+ZTF","2","None","None",True
"2019 Mar 18",2458560.8887,"r", 99.0, 99.0,99.0, 19.90,"P48+ZTF","1","None","None",True
"2019 Mar 18",2458560.9034,"r", 99.0, 99.0,99.0, 20.17,"P48+ZTF","2","None","None",True
"2019 Mar 18",2458560.9252,"r", 99.0, 99.0,99.0, 20.04,"P48+ZTF","2","None","None",True
"2019 Mar 18",2458560.9992,"g", 99.0, 99.0,99.0, 20.05,"P48+ZTF","2","None","None",True
"2019 Mar 19",2458561.8742,"r", 99.0, 99.0,99.0, 19.63,"P48+ZTF","2","None","None",True
"2019 Mar 19",2458561.9037,"r", 99.0, 99.0,99.0, 19.57,"P48+ZTF","2","None","None",True
"2019 Mar 19",2458561.9712,"i", 99.0, 99.0,99.0, 16.20,"P48+ZTF","2","None","None",True
"2019 Mar 19",2458562.0208,"g", 99.0, 99.0,99.0, 19.37,"P48+ZTF","2","None","None",True
"2019 Mar 20",2458562.8328,"g", 99.0, 99.0,99.0, 18.23,"P48+ZTF","2","None","None",True
"2019 Mar 20",2458562.8940,"r", 99.0, 99.0,99.0, 17.31,"P48+ZTF","2","None","None",True
"2019 Mar 25",2458567.8831,"r", 99.0, 99.0,99.0, 20.15,"P48+ZTF","2","None","None",True
"2019 Mar 25",2458567.8840,"r", 99.0, 99.0,99.0, 19.89,"P48+ZTF","1","None","None",True
"2019 Mar 25",2458567.9399,"g", 99.0, 99.0,99.0, 19.61,"P48+ZTF","2","None","None",True
"2019 Mar 25",2458567.9408,"g", 99.0, 99.0,99.0, 19.67,"P48+ZTF","1","None","None",True
"2019 Mar 25",2458567.9605,"g", 99.0, 99.0,99.0, 19.52,"P48+ZTF","2","None","None",True
"2019 Mar 25",2458567.9831,"g", 99.0, 99.0,99.0, 19.58,"P48+ZTF","2","None","None",True
"2019 Mar 25",2458568.0267,"r", 99.0, 99.0,99.0, 19.91,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.7393,"g", -15.00, 20.64,0.35, 20.33,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.7689,"g", 99.0, 99.0,99.0, 20.44,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.8084,"r", 99.0, 99.0,99.0, 20.29,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.8319,"r", 99.0, 99.0,99.0, 17.86,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.8400,"r", 99.0, 99.0,99.0, 17.70,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.8640,"i", 99.0, 99.0,99.0, 17.91,"P48+ZTF","2","None","None",True
"2019 Mar 26",2458568.8885,"g", 99.0, 99.0,99.0, 19.11,"P48+ZTF","2","None","None",True
"2019 Mar 27",2458569.8935,"r", -16.14, 19.49,0.15, 20.09,"P48+ZTF","2","None","None",True
"2019 Mar 27",2458569.8935,"r", -16.14, 19.49,0.15, 20.09,"P48+ZTF","2","None","None",True
"2019 Mar 27",2458569.9037,"g", -16.39, 19.25,0.14, 20.00,"P48+ZTF","2","None","None",True
"2019 Mar 27",2458569.9037,"g", -16.39, 19.25,0.14, 20.00,"P48+ZTF","2","None","None",True
"2019 Mar 28",2458570.5874,"UVW1", -17.65, 17.99,0.07, 20.92,"Swift+UVOT","None","Steve Schulze","UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 3''",False
"2019 Mar 28",2458570.5888,"u", -17.21, 18.43,0.10, 20.47,"Swift+UVOT","None","Steve Schulze","UVOT ZPs; AB; no ext corr, host not removed, aperture photometry, aperture radius: 3''",False
